Address En,District Id,Lat,Lgt
Kwai Hing Road near Kwai Hing MTR Station,Kwai Tsing,22.363466,114.131442
Wing Shun Street near Tsuen Wan Abattoir,Kwai Tsing,22.359678,114.114643
Tai Wong Ha Resite Village RCP,Kwai Tsing,22.35273,114.1011
Chung Mei Lo Uk Village RCP,Kwai Tsing,22.351205,114.105699
Entrance to Tsing Fai San Tsuen Village RCP at Lot No. 817-865 in DD 434,Kwai Tsing,22.35232,114.104541
"Kwai Shun Street RCP, near Kwai Wo Street, Kwai Shun Street",Kwai Tsing,22.354601,114.123517
"Wing Kin Road RCP, No.14 Wing Kin Road",Kwai Tsing,22.358798,114.119323
"Hing Shing Road RCP, No. 82 Hing Shing Road, Kwai Chung",Kwai Tsing,22.360048,114.125279
"Tai Yuen Street RCP, near the Car park ,Tai Yuen Street",Kwai Tsing,22.370588,114.136223
Pavement outside No. 3 Kin Chuen Street,Kwai Tsing,22.369497,114.129329
Shek Tau Street near Kwai Yung Court,Kwai Tsing,22.366219,114.12408
At side of New Fisherman Village RCP,Kwai Tsing,22.358775,114.105291
"San Kwai Street Public Toilet , Kwai Chung",Kwai Tsing,22.355729,114.131925
"Ha Kwai Chung Tsuen Refuse Collection Point at San Kwai Street, Kwai Chung",Kwai Tsing,22.356131,114.130296
"Kau Wah Keng Sun Chuen Refuse Collection Point at Kau Wa Keng San Tsuen, Lai King Hill Road, Kwai Chung, N.T.",Kwai Tsing,22.344277,114.135619
"Cheung Hang Village (Rife Range Association) Refuse Collection Point (KwT-21) at Near Rife Range Association , Cheung Hang Village",Kwai Tsing,22.346888,114.141447
"Cheung Hang Village (Pump Station) Refuse Collection Point (KwT-23) at Near Pump Station, Cheung Hang Village",Kwai Tsing,22.346372,114.14049
"Shek Pai Street Refuse Collection Point at Near Shek Lei Hang Village, Shek Pai Street",Kwai Tsing,22.366078,114.141917
"At the side of Cheung Hang Village Pavilion, Cheung Yuen Road (near Cheung Hang Village Playground)",Kwai Tsing,22.346923,114.141947
"Fung Shue Wo Resite Village Refuse Collection Point at Tsing Yu Street , Tsing Yi",Kwai Tsing,22.354849,114.100855
"Shing Mun Road Refuse Collection Point at Shing Mun Road, Kwai Chung",Kwai Tsing,22.384421,114.143505
"Lower Shing Mun Village Refuse Collection Point near Pump Station, Lower Shing Mun Village",Kwai Tsing,22.377217,114.137489
"O Pui Shan Boy’s Home Refuse Collection Point near Cheung Hang Road , O Pui Shan Boy’s Home",Kwai Tsing,22.345618,114.142282
"Kau Wah Keng Old Tsuen, Lai King Hill Road",Kwai Tsing,22.34385,114.13716
"Pavement of Shun Tat Street (outside No. 750, Shun Fung Wai)",Tuen Mun,22.424648,113.99108
At side of Bin site at Tong Hang Road (opposite to Ming Wong Garden),Tuen Mun,22.413141,113.969319
Cul-de-sac of Yeung King Road (near parking space (opposite to the fiberglass refuse collection point)),Tuen Mun,22.395287,113.962854
Ka Choi Lane RCP,Tuen Mun,22.369642,113.997542
"Bus Terminus at Tai Lam Chung, Castle Peak Road",Tuen Mun,22.362231,114.019048
Public Light Bus Terminus at So Kwun Wat (near Lee Uk Tsuen),Tuen Mun,22.37692,114.00735
At side of Tseng Tau Chung Tsuen RCP,Tuen Mun,22.398598,113.977868
At side of Tsing Yi Street RCP (near Castle Peak Villa),Tuen Mun,22.365304,114.006028
Tsing Chuen Wai (1),Tuen Mun,22.42249,113.98296
Lung Kwu Tan Seashore (near Lung Kwu Tan Village Management Office),Tuen Mun,22.390652,113.920099
"Near Staircase Area, Yip Wang Road",Tuen Mun,22.391245,113.968072
Pavement at side of Siu Lam Tsuen RCP ( TM-72 ),Tuen Mun,22.36713,114.010902
Pavement at side of Chung Uk Tsuen Refuse Collection Point (TM-33),Tuen Mun,22.428936,113.991925
"Entrance of Siu Hang Tsuen RCP, Tuen Mun",Tuen Mun,22.413979,113.971701
"near entrance of Lo Tsing Shan Tsuen at So Kwun Wat Road, Tuen Mun",Tuen Mun,22.375684,113.999681
"Ho Hoi Street , Area 40, Tuen Mun (near seaside)",Tuen Mun,22.367921,113.949683
"In front of Aqua Privy at Lee Uk Tsuen, So Kwun Wat (TM-96), So Kwun Wat Tsuen Road, Tuen Mun",Tuen Mun,22.37667,114.00648
"At side of Kar Wo Lei Tsuen RCP(TM-47), Castle Peak Road, Tuen Mun, N.T.",Tuen Mun,22.370089,113.995358
Fuk Hang Tsuen Refuse Collection Point (TM-17) at Fuk Hang Tsuen near Fuk Yam School,Tuen Mun,22.41809,113.993041
Fuk Hang Tsuen Road (near Village Office) Refuse Collection Point (TM-18) at Fuk Hang Tsuen Road near Village Office,Tuen Mun,22.416831,113.988959
"Castle Peak Road Lam Tei Refuse Collection Point (TM-19) at Lam Tei Bus Stop, Castle Peak Road",Tuen Mun,22.418405,113.982521
"Castle Peak Road Po Yuen Refuse Collection Point (TM-23) at Po Yuen, Castle Peak Road",Tuen Mun,22.426875,113.989227
Kei Lun Wai Refuse Collection Point (TM-24) at Kei Lun Wai,Tuen Mun,22.411515,113.976269
"Tsing Shan Tsuen Hing Choi Street Refuse Collection Point (TM-26) at Tsing Shan Tsuen, Hing Choi Street",Tuen Mun,22.392358,113.966077
Tsing Chuen Wai (2),Tuen Mun,22.42254,113.98307
Sun Fung Wai Refuse Collection Point (TM-30) at Sun Fung Wai,Tuen Mun,22.425447,113.988551
"Underneath footbridge at Castle Peak Road, Hung Shui Kiu near bus stop",Tuen Mun,22.424044,113.987194
Fu Tei Sheung Tsuen (near Aqua Privy) Refuse Collection Point (TM-37) at Fu Tei Sheung Tsuen near Aqua Privy,Tuen Mun,22.407974,113.984061
Chung Wong Toi Refuse Collection Poinit (TM-38) at Chung Wong Toi,Tuen Mun,22.405149,113.985813
"Wong Ka Wai Refuse Collection Point (TM-39) at Wong Ka Wai, Area 36B",Tuen Mun,22.400341,113.979716
Chung Shan San Hing Tsuen Refuse Collection Point (1) (TM-40) at San Hing Tsuen Chung Shan. (1),Tuen Mun,22.420627,113.976371
So Kwun Wat (near So Kwun Wat Primary School) Refuse Collection Point (TM-45) at So Kwun Wat near So Kwun Wat Primary School,Tuen Mun,22.376481,114.004153
